지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2018-05-01 01:00,18.3,,,,1.1,,320,,83,,17.4,15.3,1006,,1016,,,9,,9,,10,,3,451,,19,17.5,,18,18.3,17.9,16.7
108,서울,2018-05-01 02:00,18.2,,,,.8,,270,,85,,17.7,15.6,1005.9,,1015.9,,,9,,9,,10,,3,355,,19,17.5,,18,18.2,17.7,16.7
108,서울,2018-05-01 03:00,18.1,,,,1,,320,,85,,17.6,15.5,1005.8,,1015.8,,,9,,9,10,10,St,3,284,,19,17.4,,17.9,18,17.6,16.6
108,서울,2018-05-01 04:00,18,,0,,.3,,0,,85,,17.5,15.4,1005.7,,1015.7,,,9,,9,10,10,St,3,275,,1902,17.3,,17.8,17.9,17.5,16.6
108,서울,2018-05-01 05:00,18,,0,,.8,,50,,85,,17.5,15.4,1005.6,,1015.6,,,9,,9,10,10,St,3,346,,1902,17.2,,17.7,17.8,17.3,16.5
108,서울,2018-05-01 06:00,17.8,,0,,.6,,50,,85,,17.3,15.2,1005.2,,1015.2,,0,,0,,9,9,Sc,5,265,,1902,17,,17.5,17.7,17.3,16.5
108,서울,2018-05-01 07:00,18,,,9,.7,,50,,82,,16.8,14.8,1005.2,,1015.2,,0,,.11,,9,9,Sc,12,264,,19,17.9,,17.5,17.5,17.2,16.4
108,서울,2018-05-01 08:00,18.8,,,9,.6,,90,,76,,16.4,14.4,1005.2,,1015.2,,0,,.36,,9,9,Sc,12,301,,19,20.6,,17.9,17.5,17.1,16.4
108,서울,2018-05-01 09:00,20.7,,,9,1.1,,90,,67,,16.3,14.3,1005.1,,1015.1,,.9,,1.3,,1,1,Sc,13,464,,4019,26.4,,19.5,17.6,17,16.3
108,서울,2018-05-01 10:00,22.2,,,9,1.2,,50,,61,,16.3,14.3,1004.9,,1014.8,,1,,1.72,,4,4,Sc,6,531,,40,31.5,,21.3,18.1,17,16.2
108,서울,2018-05-01 11:00,22.7,,,9,1.1,,290,,63,,17.3,15.2,1005.1,,1014.9,,.4,,1.36,,9,9,Sc,9,605,,40,27.4,,22.8,18.8,17.1,16.2
108,서울,2018-05-01 12:00,22.1,,,9,2.7,,320,,67,,17.7,15.6,1004.7,,1014.6,,0,,.81,,9,9,Sc,8,462,,40,30.3,,22.1,19.3,17.3,16.3
108,서울,2018-05-01 13:00,23,,,9,3.1,,340,,63,,17.6,15.5,1004,,1013.8,,.6,,1.92,,8,8,Sc,7,494,,40,34.5,,23.7,19.7,17.5,16.3
108,서울,2018-05-01 14:00,23,,,9,2.8,,320,,64,,17.9,15.8,1003.5,,1013.3,,.3,,1.59,,8,8,Sc,8,520,,40,31.7,,24.3,20.3,17.7,16.4
