DMS 포집내역 (2024.04.01 ~ 2024.11.30),,,,,2024년,포집량,모기,기타,,
,포집량,모기,기타,,4월,16154,16023,131,,
계,354063,349931,4136,,5월,40212,39903,310,,
2024-04-01,152,150,2,,6월,69292,68462,831,,
2024-04-02,127,122,5,,7월,63644,62721,923,,
2024-04-03,225,220,5,,8월,54756,53932,825,,
2024-04-04,239,237,2,,9월,54705,53971,735,,
2024-04-05,176,172,4,,10월,42955,42693,262,,
2024-04-06,158,157,1,,11월,12345,12226,119,,
2024-04-07,219,213,6,,계,354063,349931,4136,,
2024-04-08,230,229,1,,,,,,,
2024-04-09,263,256,7,,,,,,,
2024-04-10,252,251,1,,,,,,,
2024-04-11,287,281,6,,,,,,,
2024-04-12,282,278,4,,,,,,,
2024-04-13,338,338,0,,,,,,,
2024-04-14,446,444,2,,,,,,,
2024-04-15,567,563,4,,,,,,,
2024-04-16,194,193,1,,,,,,,
2024-04-17,356,356,0,,,,,,,
2024-04-18,617,613,4,,,,,,,
2024-04-19,820,808,12,,,,,,,
2024-04-20,822,817,5,,,,,,,
2024-04-21,388,384,4,,,,,,,
2024-04-22,923,917,6,,,,,,,
2024-04-23,1079,1075,4,,,,,,,
2024-04-24,760,747,13,,,,,,,
2024-04-25,405,404,1,,,,,,,
2024-04-26,949,943,6,,,,,,,
2024-04-27,1195,1186,9,,,,,,,
2024-04-28,1146,1141,5,,,,,,,
2024-04-29,1363,1356,7,,,,,,,
2024-04-30,1176,1172,4,,,,,,,
2024-05-01,991,978,13,,,,,,,
2024-05-02,1172,1166,6,,,,,,,
2024-05-03,1152,1145,7,,,,,,,
2024-05-04,1196,1189,7,,,,,,,
2024-05-05,1434,1427,7,,,,,,,
2024-05-06,622,619,3,,,,,,,
2024-05-07,840,832,9,,,,,,,
2024-05-08,686,678,8,,,,,,,
2024-05-09,1392,1387,5,,,,,,,
2024-05-10,1339,1329,10,,,,,,,
2024-05-11,1481,1476,5,,,,,,,
2024-05-12,746,738,8,,,,,,,
2024-05-13,1483,1476,7,,,,,,,
2024-05-14,1369,1355,14,,,,,,,
2024-05-15,1296,1284,12,,,,,,,
2024-05-16,110,109,1,,,,,,,
2024-05-17,1042,1036,6,,,,,,,
2024-05-18,1410,1403,7,,,,,,,
2024-05-19,1467,1455,12,,,,,,,
2024-05-20,1451,1440,11,,,,,,,
2024-05-21,1107,1098,9,,,,,,,
