DMS 포집내역 (2016.4.18 ~ 2016.10.31),,,,,2016년,포집량,모기,기타
,포집량,모기,기타,,4월,12027,11933,94
계,1048403,1017224,31179,,5월,120088,119336,752
2016-04-18,187,185,2,,6월,231499,228364,3135
2016-04-19,260,258,2,,7월,198153,195963,2190
2016-04-20,931,921,10,,8월,203280,183555,19725
2016-04-21,1053,1047,6,,9월,178454,173790,4664
2016-04-22,1301,1292,9,,10월,104902,104283,619
2016-04-23,749,740,9,,계,1048403,1017224,31179
2016-04-24,1171,1161,10,,,,,
2016-04-25,1330,1324,6,,,,,
2016-04-26,1645,1633,12,,,,,
2016-04-27,1863,1843,20,,,,,
2016-04-28,1537,1529,8,,,,,
2016-04-29,0,0,0,,,,,
2016-04-30,0,0,0,,,,,
2016-05-01,0,0,0,,,,,
2016-05-02,0,0,0,,,,,
2016-05-03,2132,2123,9,,,,,
2016-05-04,207,200,7,,,,,
2016-05-05,1977,1965,12,,,,,
2016-05-06,2703,2687,16,,,,,
2016-05-07,1234,1228,6,,,,,
2016-05-08,2396,2381,15,,,,,
2016-05-09,2727,2709,18,,,,,
2016-05-10,2192,2182,10,,,,,
2016-05-11,1888,1883,5,,,,,
2016-05-12,2389,2376,13,,,,,
2016-05-13,1961,1942,19,,,,,
2016-05-14,2860,2838,22,,,,,
2016-05-15,3360,3341,19,,,,,
2016-05-16,3678,3673,5,,,,,
2016-05-17,3165,3103,62,,,,,
2016-05-18,7357,7318,39,,,,,
2016-05-19,3949,3896,53,,,,,
2016-05-20,4485,4433,52,,,,,
2016-05-21,5164,5112,52,,,,,
2016-05-22,9849,9818,31,,,,,
2016-05-23,6109,6076,33,,,,,
2016-05-24,5579,5532,47,,,,,
2016-05-25,6837,6788,49,,,,,
2016-05-26,5302,5275,27,,,,,
2016-05-27,6003,5975,28,,,,,
2016-05-28,6976,6949,27,,,,,
2016-05-29,6244,6220,24,,,,,
2016-05-30,5937,5910,27,,,,,
2016-05-31,5428,5403,25,,,,,
2016-06-01,6254,6230,24,,,,,
2016-06-02,6049,6029,20,,,,,
2016-06-03,9880,9643,237,,,,,
2016-06-04,7341,7316,25,,,,,
2016-06-05,8157,8140,17,,,,,
2016-06-06,26465,26441,24,,,,,
2016-06-07,15792,15775,17,,,,,
2016-06-08,6990,6958,32,,,,,
2016-06-09,7244,7232,12,,,,,
2016-06-10,7751,6237,1514,,,,,
2016-06-11,5689,5676,13,,,,,
2016-06-12,5485,5469,16,,,,,
2016-06-13,6288,6247,41,,,,,
2016-06-14,5162,5100,62,,,,,
2016-06-15,4144,4112,32,,,,,
2016-06-16,3660,3632,28,,,,,
2016-06-17,5465,5415,50,,,,,
2016-06-18,5525,5483,42,,,,,
2016-06-19,7895,7859,36,,,,,
2016-06-20,6461,6398,63,,,,,
2016-06-21,6461,6400,61,,,,,
2016-06-22,6281,6213,68,,,,,
2016-06-23,7136,7008,128,,,,,
2016-06-24,7567,7509,58,,,,,
2016-06-25,7363,7299,64,,,,,
2016-06-26,7751,7687,64,,,,,
