DMS 포집내역 (2022.5.1 ~ 2022.10.31),,,,,,,,,,2022년,포집량,모기,기타,,
,포집량,모기,기타,,,포집량,모기,기타,,5월,52144,50460,1694,,
계,350621,338483,12216,,,#REF!,#REF!,#REF!,,6월,63599,61708,1882,,
2022-05-01,597,568,29,,4월3주,#REF!,#REF!,#REF!,,7월,61046,58971,2080,,
2022-05-02,750,721,29,,,,,,,8월,57988,55677,2311,,
2022-05-03,985,945,40,,,,,,,9월,72825,70403,2494,,
2022-05-04,953,904,49,,,,,,,10월,43019,41264,1755,,
2022-05-05,1102,1057,45,,,,,,,계,350621,338483,12216,,
2022-05-06,1084,1033,51,,,,,,,,,,,,
2022-05-07,1121,1067,54,,4월4주,#REF!,#REF!,#REF!,,,,,,,
2022-05-08,1602,1556,46,,,,,,,,,,,,
2022-05-09,773,710,63,,,,,,,,,,,,
2022-05-10,1560,1508,52,,,,,,,,,,,,
2022-05-11,1419,1365,54,,,,,,,,,,,,
2022-05-12,1588,1536,52,,,,,,,,,,,,
2022-05-13,1753,1703,53,,,,,,,,,,,,
2022-05-14,1623,1570,53,,5월1주,3285,3138,147,,,,,,,
2022-05-15,1452,1399,53,,,,,,,,,,,,
2022-05-16,1467,1411,56,,,,,,,,,,,,
2022-05-17,1676,1614,62,,,,,,,,,,,,
2022-05-18,1666,1608,58,,,,,,,,,,,,
2022-05-19,1647,1588,59,,,,,,,,,,,,
2022-05-20,1746,1696,50,,,,,,,,,,,,
2022-05-21,1706,1655,51,,5월2주,8661,8296,365,,,,,,,
2022-05-22,1631,1576,55,,,,,,,,,,,,
2022-05-23,1984,1923,61,,,,,,,,,,,,
2022-05-24,2358,2288,70,,,,,,,,,,,,
2022-05-25,2670,2602,74,,,,,,,,,,,,
2022-05-26,2017,1958,59,,,,,,,,,,,,
2022-05-27,2436,2369,67,,,,,,,,,,,,
2022-05-28,2810,2743,67,,5월3주,11225,10841,387,,,,,,,
2022-05-29,2478,2412,66,,,,,,,,,,,,
2022-05-30,2725,2672,54,,,,,,,,,,,,
2022-05-31,2765,2703,62,,,,,,,,,,,,
2022-06-01,2852,2793,59,,,,,,,,,,,,
2022-06-02,2437,2378,59,,,,,,,,,,,,
