DMS 포집내역 (2025.03.01 ~ 2025.11.30),,,,,2025년,포집량,모기,기타,,
,포집량,모기,기타,,3월,1138,1068,70,,
계,377817,352970,24857,,4월,8292,8072,220,,
2025-03-01,4,4,0,,5월,41306,40711,595,,
2025-03-02,2,2,0,,6월,63243,62351,892,,
2025-03-03,5,4,1,,7월,72626,69536,3092,,
2025-03-04,9,7,2,,8월,70434,60531,9911,,
2025-03-05,4,3,1,,9월,68412,59026,9386,,
2025-03-06,9,9,0,,10월,43862,43455,407,,
2025-03-07,10,8,2,,11월,8504,8220,284,,
2025-03-08,7,5,2,,계,377817,352970,24857,,
2025-03-09,7,5,2,,,,,,,
2025-03-10,11,9,2,,,,,,,
2025-03-11,12,9,3,,,,,,,
2025-03-12,19,18,1,,,,,,,
2025-03-13,17,15,2,,,,,,,
2025-03-14,17,15,2,,,,,,,
2025-03-15,61,55,6,,,,,,,
2025-03-16,20,16,4,,,,,,,
2025-03-17,14,12,2,,,,,,,
2025-03-18,45,44,1,,,,,,,
2025-03-19,10,9,1,,,,,,,
2025-03-20,5,3,2,,,,,,,
2025-03-21,40,37,3,,,,,,,
2025-03-22,53,49,4,,,,,,,
2025-03-23,91,87,4,,,,,,,
2025-03-24,162,157,5,,,,,,,
2025-03-25,129,125,4,,,,,,,
2025-03-26,62,60,2,,,,,,,
2025-03-27,208,202,6,,,,,,,
2025-03-28,59,57,2,,,,,,,
2025-03-29,26,24,2,,,,,,,
2025-03-30,12,11,1,,,,,,,
2025-03-31,8,7,1,,,,,,,
2025-04-01,40,38,2,,,,,,,
2025-04-02,113,109,4,,,,,,,
2025-04-03,50,48,2,,,,,,,
2025-04-04,84,83,1,,,,,,,
2025-04-05,112,109,3,,,,,,,
2025-04-06,28,26,2,,,,,,,
2025-04-07,78,72,6,,,,,,,
2025-04-08,271,258,13,,,,,,,
2025-04-09,201,191,10,,,,,,,
2025-04-10,178,170,8,,,,,,,
2025-04-11,211,205,6,,,,,,,
2025-04-12,344,342,2,,,,,,,
2025-04-13,39,37,2,,,,,,,
2025-04-14,13,11,2,,,,,,,
2025-04-15,16,12,4,,,,,,,
2025-04-16,83,75,8,,,,,,,
2025-04-17,360,356,4,,,,,,,
2025-04-18,409,402,7,,,,,,,
2025-04-19,391,381,10,,,,,,,
2025-04-20,185,180,5,,,,,,,
2025-04-21,498,490,8,,,,,,,
2025-04-22,536,525,11,,,,,,,
2025-04-23,443,424,19,,,,,,,
2025-04-24,578,568,10,,,,,,,
2025-04-25,346,333,13,,,,,,,
2025-04-26,335,323,12,,,,,,,
2025-04-27,474,466,8,,,,,,,
2025-04-28,609,599,10,,,,,,,
2025-04-29,604,594,10,,,,,,,
2025-04-30,663,645,18,,,,,,,
2025-05-01,934,920,14,,,,,,,
2025-05-02,288,275,13,,,,,,,
2025-05-03,747,732,15,,,,,,,
2025-05-04,338,323,15,,,,,,,
2025-05-05,741,731,10,,,,,,,
2025-05-06,520,515,5,,,,,,,
2025-05-07,969,940,29,,,,,,,
2025-05-08,866,840,26,,,,,,,
2025-05-09,1396,1380,16,,,,,,,
